"Freq [GHz]","loss [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
49.395,1.50953187738347
49.4475,1.50996883202916
49.5,1.510405903943
49.5525,1.51084309252241
49.605,1.51128039715947
49.6575,1.51171781724086
49.71,1.51215535214788
49.7625,1.51259300125644
49.815,1.51303076393697
49.8675,1.5134686395545
49.92,1.51390662746855
49.9725,1.51434472703317
50.025,1.51478293759691
50.0775,1.51522125850276
50.13,1.51565968908819
50.1825,1.51609822868508
50.235,1.51653687661972
50.2875,1.51697563221279
50.34,1.51741449477934
50.3925,1.51785346362876
50.445,1.51829253806474
50.4975,1.51873171738529
50.55,1.51917100088269
50.6025,1.51961038784348
50.655,1.5200498775484
50.7075,1.52048946927242
50.76,1.52092916228469
50.8125,1.5213689558485
50.865,1.52180884922128
50.9175,1.52224884165457
50.97,1.52268893239398
51.0225,1.52312912067919
51.075,1.5235694057439
51.1275,1.52400978681581
51.18,1.52445026311661
51.2325,1.52489083386192
51.285,1.52533149826131
51.3375,1.52577225551821
51.39,1.52621310482994
51.4425,1.52665404538766
51.495,1.52709507637634
51.5475,1.5275361969747
51.6,1.52797740635527
51.6525,1.52841870368425
51.705,1.52886008812155
51.7575,1.52930155882075
51.81,1.52974311492907
51.8625,1.53018475558729
51.915,1.5306264799298
51.9675,1.53106828708452
52.02,1.53151017617285
52.0725,1.5319521463097
52.125,1.53239419660338
52.1775,1.53283632615564
52.23,1.53327853406159
52.2825,1.53372081940968
52.335,1.53416318128165
52.3875,1.53460561875254
52.44,1.5350481308906
52.4925,1.5354907167573
52.545,1.53593337540723
52.5975,1.53637610588817
52.65,1.53681890724094
52.7025,1.53726177849943
52.755,1.53770471869054
52.8075,1.53814772683416
52.86,1.53859080194311
52.9125,1.53903394302311
52.965,1.53947714907273
53.0175,1.53992041908337
53.07,1.54036375203922
53.1225,1.5408071469172
53.175,1.54125060268692
53.2275,1.54169411831066
53.28,1.5421376927433
53.3325,1.54258132493233
53.385,1.54302501381771
53.4375,1.54346875833194
53.49,1.54391255739994
53.5425,1.54435640993901
53.595,1.54480031485884
53.6475,1.54524427106141
53.7,1.54568827744095
53.7525,1.54613233288392
53.805,1.54657643626895
53.8575,1.54702058646679
53.91,1.54746478234025
53.9625,1.54790902274419
54.015,1.54835330652541
54.0675,1.54879763252269
54.12,1.54924199956663
54.1725,1.54968640647969
54.225,1.55013085207611
54.2775,1.55057533516182
54.33,1.55101985453447
54.3825,1.55146440898328
54.435,1.55190899728908
54.4875,1.55235361822417
54.54,1.55279827055234
54.5925,1.55324295302877
54.645,1.55368766439999
54.6975,1.55413240340382
54.75,1.55457716876931
54.8025,1.55502195921669
54.855,1.55546677345732
54.9075,1.55591161019359
54.96,1.55635646811893
55.0125,1.55680134591768
55.065,1.55724624226507
55.1175,1.55769115582717
55.17,1.55813608526077
55.2225,1.55858102921339
55.275,1.55902598632315
55.3275,1.55947095521877
55.38,1.55991593451946
55.4325,1.56036092283487
55.485,1.56080591876501
55.5375,1.56125092090021
55.59,1.56169592782105
55.6425,1.56214093809825
55.695,1.56258595029267
55.7475,1.56303096295517
55.8,1.5634759746266
55.8525,1.56392098383768
55.905,1.56436598910895
55.9575,1.56481098895073
56.01,1.56525598186297
56.0625,1.56570096633526
56.115,1.56614594084669
56.1675,1.56659090386581
56.22,1.56703585385055
56.2725,1.56748078924812
56.325,1.56792570849496
56.3775,1.56837061001666
56.43,1.56881549222786
56.4825,1.56926035353216
56.535,1.5697051923221
56.5875,1.570150006979
56.64,1.57059479587294
