"Freq [GHz]","Zo(1) [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
57.7425,50 + 0i
57.795,50 + 0i
57.8475,50 + 0i
57.9,50 + 0i
57.9525,50 + 0i
58.005,50 + 0i
58.0575,50 + 0i
58.11,50 + 0i
58.1625,50 + 0i
58.215,50 + 0i
58.2675,50 + 0i
58.32,50 + 0i
58.3725,50 + 0i
58.425,50 + 0i
58.4775,50 + 0i
58.53,50 + 0i
58.5825,50 + 0i
58.635,50 + 0i
58.6875,50 + 0i
58.74,50 + 0i
58.7925,50 + 0i
58.845,50 + 0i
58.8975,50 + 0i
58.95,50 + 0i
59.0025,50 + 0i
59.055,50 + 0i
59.1075,50 + 0i
59.16,50 + 0i
59.2125,50 + 0i
59.265,50 + 0i
59.3175,50 + 0i
59.37,50 + 0i
59.4225,50 + 0i
59.475,50 + 0i
59.5275,50 + 0i
59.58,50 + 0i
59.6325,50 + 0i
59.685,50 + 0i
59.7375,50 + 0i
59.79,50 + 0i
59.8425,50 + 0i
59.895,50 + 0i
59.9475,50 + 0i
60,50 + 0i
